disease,disease_num,system,system_num,medcodeid,descr,istest
Abdominal Hernia,2,Diseases of the Digestive System,3,302920011,Abdominal cavity hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302921010,Unspecified abdominal cavity hernia with gangrene,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302922015,Unspecified abdominal cavity hernia with obstruction,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302923013,Unspecified abdominal cavity hernia - irreducible,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302924019,Unspecified abdominal cavity hernia - simple,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302925018,Unspecified abdominal cavity hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,303756013,[X]Hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,413911000006113,"[X]Other specified abdominal hernia+obstruction,w'o gangrene",no
Abdominal Hernia,2,Diseases of the Digestive System,3,405101000006114,[X]Oth spcfd abdominal hernia without obstructn or gangrene,no
Abdominal Hernia,2,Diseases of the Digestive System,3,2694577015,Congenital inguinal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302915011,Other specified abdominal cavity hernia - simple,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302886015,Obturator hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302884017,Simple obturator hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,102101010,Obturator hernia with obstruction,no
Abdominal Hernia,2,Diseases of the Digestive System,3,31024015,Incisional hernia with gangrene,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302810019,Epigastric hernia with gangrene,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302811015,Ventral hernia with gangrene NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,67061000006112,Ventral hernia with obstruction,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302816013,Incisional hernia with obstruction,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302817016,Epigastric hernia with obstruction,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302819018,Ventral hernia with obstruction NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,778441000006114,Inguinal hernia - irreducible,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302822016,Ventral hernia unspecified - irreducible,no
Abdominal Hernia,2,Diseases of the Digestive System,3,741451000006117,Incisional hernia - irreducible,no
Abdominal Hernia,2,Diseases of the Digestive System,3,647101000006114,Epigastric hernia - irreducible,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302827010,Ventral hernia - irreducible NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,142231000006110,Simple ventral hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302830015,Simple ventral hernia unspecified,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302832011,Simple incisional hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,396354017,Simple epigastric hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,429110010,Epigastric hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302836014,Simple ventral hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302837017,Ventral hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302838010,Unspecified ventral hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302839019,Incisional hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302840017,Epigastric hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302863010,Gluteal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,742611000006110,Ischiorectal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,39180013,Lumbar hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302877013,Simple lumbar hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302880014,Unspecified lumbar hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302881013,Lumbar hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,100727014,Obturator hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,353815010,Incisional hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,739351000006114,Inguinal hernia with obstruction NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302767018,Unspecified femoral hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,80871000006111,Unilateral recurrent inguinal hernia with obstruction,no
Abdominal Hernia,2,Diseases of the Digestive System,3,393474016,Other specified primary repair of inguinal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,411196018,Halsted repair of inguinal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275320015,Primary repair of inguinal hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,32510010,Repair of recurrent inguinal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,1222272011,Herniorrhaphy for recurrent inguinal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,173051000006115,Repair recurr inguinal hernia using insert natural material,no
Abdominal Hernia,2,Diseases of the Digestive System,3,173061000006118,Repair recurr inguinal hernia using insert prosthet material,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275325013,Repair of recurrent inguinal hernia using sutures,no
Abdominal Hernia,2,Diseases of the Digestive System,3,176201000006116,Removal prosthet material fr previous repair inguinal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275327017,Other specified repair of recurrent inguinal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275328010,Repair of recurrent inguinal hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,393475015,Primary repair of femoral hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,445740018,Femoral hernia repair NEC,no
Abdominal Hernia,2,Diseases of the Digestive System,3,2474694012,Primary laparoscopic repair of inguinal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,205991000006117,Primary repair femoral hernia using insert natural material,no
Abdominal Hernia,2,Diseases of the Digestive System,3,393477011,Primary repair of femoral hernia using sutures,no
Abdominal Hernia,2,Diseases of the Digestive System,3,545531000006113,Cheadle repair of femoral hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,820271000006117,Henry repair of femoral hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,736361000006117,Lockwood repair of femoral hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,411197010,Lotheissen repair of femoral hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,411198017,McEvedy repair of femoral hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275344018,Endoscopic primary repair of femoral hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275345017,Other specified primary repair of femoral hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275346016,Primary repair of femoral hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,127958011,Repair of recurrent femoral hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,1234053014,Herniorrhaphy for recurrent femoral hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,173021000006112,Repair recurr femoral hernia using insert prosthet material,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275352015,Repair of recurrent femoral hernia using sutures,no
Abdominal Hernia,2,Diseases of the Digestive System,3,206001000006116,Primary repair femoral hernia using insert prosthet material,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275316019,Bilateral inguinal hernia repair,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275315015,Endoscopic primary repair of inguinal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,206011000006118,Primary repair inguinal hernia & reduction of sliding hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,12728171000006111,abdominal cavity hernia nos,no
Abdominal Hernia,2,Diseases of the Digestive System,3,12729371000006118,inguinal hernia nos,no
Abdominal Hernia,2,Diseases of the Digestive System,3,3498461000006119,obturator hernia with obstruction,no
Abdominal Hernia,2,Diseases of the Digestive System,3,1839131000006119,perineal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,982791000006111,"repair of epigastric hernia, unspecified",no
Abdominal Hernia,2,Diseases of the Digestive System,3,12720331000006113,repair of other hernia of abdominal wall nos,no
Abdominal Hernia,2,Diseases of the Digestive System,3,12725311000006112,repair of umbilical hernia nos,no
Abdominal Hernia,2,Diseases of the Digestive System,3,11904461000006119,repair of umbilical hernia using sutures,no
Abdominal Hernia,2,Diseases of the Digestive System,3,12720011000006116,richter's hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,12702521000006110,sciatic hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,12730071000006111,ventral hernia nos,no
Abdominal Hernia,2,Diseases of the Digestive System,3,411935016,O/E - hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,254465015,O/E - reducible hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,511111000006116,Bilateral inguinal hernia with obstruction,no
Abdominal Hernia,2,Diseases of the Digestive System,3,254467011,O/E - strangulated hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,254468018,O/E-hernia-cough impulse shown,no
Abdominal Hernia,2,Diseases of the Digestive System,3,254469014,O/E-hernia descends to scrotum,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275293013,Simple excision of inguinal hernial sac,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275299012,Other specified simple excision of inguinal hernial sac,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275300016,Simple excision of inguinal hernial sac NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275301017,Primary repair of inguinal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,206021000006114,Primary repair inguinal hernia using insert natural material,no
Abdominal Hernia,2,Diseases of the Digestive System,3,208951000006115,Prim repair inguinal hernia using insert prosthet material,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275307018,Primary mesh repair of inguinal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,410872018,Primary repair of inguinal hernia using sutures,no
Abdominal Hernia,2,Diseases of the Digestive System,3,411193014,Bassini repair of inguinal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,668811000006112,Ferguson repair of inguinal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,714841000006112,McVay repair of inguinal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,411194015,Shouldice repair of inguinal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,176191000006119,Removal prosthet material fr previous repair femoral hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275354019,Other specified repair of recurrent femoral hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,254466019,O/E - irreducible hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,74978012,Repair of umbilical hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,1552011000006118,Prim rep umbilical hernia using insert prosthetic material,no
Abdominal Hernia,2,Diseases of the Digestive System,3,1552021000006114,Primary repair of umbilical hernia using sutures,no
Abdominal Hernia,2,Diseases of the Digestive System,3,1552031000006112,Remov prosthet material fr previous repair umbilical hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,383001000000113,Other specified primary repair of umbilical hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,2676339018,Repair of recurrent umbilical hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,1552081000006113,Repair recurrent umbilical hernia us insert prosthetic mater,no
Abdominal Hernia,2,Diseases of the Digestive System,3,1552091000006111,Repair of recurrent umbilical hernia using sutures,no
Abdominal Hernia,2,Diseases of the Digestive System,3,399231000000113,Other specified repair of recurrent umbilical hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,399211000000117,Repair of recurrent umbilical hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,1767901000006113,Repair of recurrent other hernia of abdominal wall,no
Abdominal Hernia,2,Diseases of the Digestive System,3,1767911000006111,Repair recur ventral hernia using insert natural material,no
Abdominal Hernia,2,Diseases of the Digestive System,3,1767921000006115,Repair recurrent ventral hernia insert prosthetic material,no
Abdominal Hernia,2,Diseases of the Digestive System,3,1681681000000116,Repair of recurrent ventral hernia using sutures,no
Abdominal Hernia,2,Diseases of the Digestive System,3,1767941000006110,Other specified repair recurrent other hernia abdominal wall,no
Abdominal Hernia,2,Diseases of the Digestive System,3,1767951000006112,Repair of recurrent other hernia of abdominal wall NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,145340019,Manual reduction of hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,87396010,Hernia of abdominal cavity,no
Abdominal Hernia,2,Diseases of the Digestive System,3,1776213016,Inguinal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,1776212014,Bubonocele,no
Abdominal Hernia,2,Diseases of the Digestive System,3,622171000006119,Direct inguinal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,781271000006116,Indirect inguinal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,54528017,Scrotal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,4966010,Inguinal hernia with gangrene,no
Abdominal Hernia,2,Diseases of the Digestive System,3,52687019,Unilateral inguinal hernia with gangrene,no
Abdominal Hernia,2,Diseases of the Digestive System,3,88895015,Bilateral recurrent inguinal hernia with gangrene,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302717013,Inguinal hernia with gangrene NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,739341000006112,Inguinal hernia with obstruction,no
Abdominal Hernia,2,Diseases of the Digestive System,3,80651000006119,Unilateral inguinal hernia with obstruction,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275355018,Repair of recurrent femoral hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,1552001000006116,Primary rep umbilical hernia using insert natural material,no
Abdominal Hernia,2,Diseases of the Digestive System,3,2691953015,Primary repair of umbilical hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,383021000000116,Primary repair of umbilical hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275392018,Other specified repair of other hernia of abdominal wall,no
Abdominal Hernia,2,Diseases of the Digestive System,3,172681000006114,Repair of umbilical hernia using insert of natural material,no
Abdominal Hernia,2,Diseases of the Digestive System,3,173071000006113,Repair umbilical hernia using insert of prosthetic material,no
Abdominal Hernia,2,Diseases of the Digestive System,3,172691000006112,Repair of umbilical hernia using sutures,no
Abdominal Hernia,2,Diseases of the Digestive System,3,180901000006116,Remov prosthet material fr previous repair umbilical hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275362010,Other specified repair of umbilical hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275363017,Repair of umbilical hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275364011,Primary repair of incisional hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,208931000006110,Prim repair incisional hernia using insert natural material,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275393011,Repair of other hernia of abdominal wall NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275369018,Primary mesh repair of incisional hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275371018,Primary repair of incisional hernia using sutures,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275372013,Other specified primary repair of incisional hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275373015,Primary repair of incisional hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275375010,Repair of recurrent incisional hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275374014,Herniorrhaphy for recurrent incisional hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,208941000006117,Prim repair incisional hernia using insert prosthet material,no
Abdominal Hernia,2,Diseases of the Digestive System,3,173041000006117,Repair recurr incision hernia using insert prosthet material,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275380018,Repair of recurrent incisional hernia using sutures,no
Abdominal Hernia,2,Diseases of the Digestive System,3,176221000006114,Removal prosthetic material fr prev repair incisional hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275382014,Other specified repair of recurrent incisional hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275383016,Repair of recurrent incisional hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,393479014,Repair of other hernia of abdominal wall,no
Abdominal Hernia,2,Diseases of the Digestive System,3,2549710011,"Repair of epigastric hernia, unspecified",no
Abdominal Hernia,2,Diseases of the Digestive System,3,179031000006113,Repair of other ventral hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275388013,Repair of ventral hernia using insert of natural material,no
Abdominal Hernia,2,Diseases of the Digestive System,3,172931000006119,Repair of ventral hernia using insert of prosthetic material,no
Abdominal Hernia,2,Diseases of the Digestive System,3,275390014,Repair of ventral hernia using sutures,no
Abdominal Hernia,2,Diseases of the Digestive System,3,176211000006118,Removal prosthet material fr previous repair ventral hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,173031000006110,Repair recurr incision hernia using insert natural material,no
Acne,3,Skin conditions,15,19014018,Tropical acne,no
Acne,3,Skin conditions,15,309121013,Steroid acne,no
Acne,3,Skin conditions,15,309119015,Occupational acne,no
Acne,3,Skin conditions,15,8786013,Acne fulminans,no
Acne,3,Skin conditions,15,98310017,Pustular acne,no
Acne,3,Skin conditions,15,357834014,Acne agminata,no
Acne,3,Skin conditions,15,309368012,"[X]Acne, unspecified",no
Acne,3,Skin conditions,15,453121000006111,"Acne, unspecified",no
